TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
MODL11,8.46,,-27.27,1.66,0.27,50.83,-5.11,-5.48,-29.26,-29.26,,,1.50,-0.63,-0.30,0.20,-6.10,-0.97,,0.16,0.84,0.18,,,,5.09,-0.31,0.17,1985844000.00
MODL3,3.08,,-29.78,1.82,0.29,50.83,-5.11,-5.48,-31.96,-29.26,,,1.63,-0.69,-0.32,0.20,-6.10,-0.97,,0.16,0.84,0.18,,,,1.70,-0.10,0.19,1985844000.00
MODL4,2.72,,-26.30,1.60,0.26,50.83,-5.11,-5.48,-28.22,-29.26,,,1.44,-0.61,-0.29,0.20,-6.10,-0.97,,0.16,0.84,0.18,,,,1.70,-0.10,0.17,1985844000.00
MOSI3,8.24,,2.17,0.14,0.02,0.00,0.00,3.42,,,,0.00,0.07,,-0.02,,6.38,0.74,,0.12,0.88,0.22,,,,59.43,3.79,0.17,1043149227.20
MOTV3,14.48,3.38,14.05,1.99,0.45,38.35,29.61,9.89,4.69,9.87,5.18,2.20,1.39,6.04,-0.54,1.88,14.16,3.23,11.18,0.23,0.77,0.33,15.52,7.68,101284733.10,7.28,1.03,0.30,29249600000.00
MOVI3,7.09,2.51,8.61,0.93,0.08,30.93,20.55,2.01,0.84,6.31,5.47,6.06,0.17,-1.11,-0.11,0.77,10.81,0.96,12.90,0.09,0.91,0.48,28.58,4.69,37398581.43,7.61,0.82,-0.06,2466834093.94
MRFG3,24.94,11.32,7.56,7.55,0.16,12.80,3.71,1.78,3.62,10.91,7.29,15.19,0.13,2.21,-0.25,1.22,99.86,2.05,2.69,0.02,0.86,1.16,25.01,66.97,122844069.52,3.30,3.30,0.00,21396727287.86
MRSA3B,27.88,3.42,6.24,1.14,0.47,43.15,35.63,21.15,3.70,5.42,1.91,0.59,1.32,-41.18,-0.57,0.94,18.34,7.55,11.60,0.41,0.59,0.36,17.02,24.57,15335.00,24.35,4.47,0.72,8913207444.88
MRSA5B,24.50,4.28,5.48,1.01,0.41,43.15,35.63,21.15,3.26,5.42,1.91,0.59,1.16,-36.19,-0.50,0.94,18.34,7.55,11.60,0.41,0.59,0.36,17.02,24.57,7350.00,24.35,4.47,0.63,8913207444.88
MRSA6B,25.00,4.19,5.60,1.03,0.42,43.15,35.63,21.15,3.32,5.42,1.91,0.59,1.18,-36.93,-0.51,0.94,18.34,7.55,11.60,0.41,0.59,0.36,17.02,24.57,0.00,24.35,4.47,0.65,8913207444.88
MRVE3,7.57,,-2.97,0.83,0.16,27.82,-3.61,-14.61,-12.03,-33.29,-21.26,1.46,0.43,0.71,-0.34,1.68,-27.79,-5.23,-4.38,0.19,0.78,0.36,8.27,,74188827.05,9.16,-2.55,-0.02,4260597899.47
MSPA3,46.00,,-25.87,0.36,0.20,38.28,14.59,-6.59,11.68,17.56,6.18,0.19,1.70,16.94,-0.22,1.15,-1.38,-0.78,1.16,0.57,0.43,0.12,6.03,,13800.00,128.69,-1.78,0.05,287124665.20
MSPA4,36.30,,-20.42,0.28,0.16,38.28,14.59,-6.59,9.22,17.56,6.18,0.19,1.34,13.37,-0.18,1.15,-1.38,-0.78,1.16,0.57,0.43,0.12,6.03,,0.00,128.69,-1.78,0.04,287124665.20
MSRO3,702.50,,-2447.02,287.59,68.00,34.77,15.92,-6.69,1028.65,1037.06,8.41,2.35,163.79,-591.86,-92.12,0.70,-11.75,-2.78,5.55,0.24,0.76,0.42,6.40,,,2.44,-0.29,4.91,18271898550.00
MTIG3,0.00,,0.00,0.00,0.00,-16.12,-64.07,-113.09,0.00,-1.28,-1.17,,0.00,0.00,0.00,0.27,-725.28,-74.53,-104.33,-0.10,1.10,0.66,-17.44,,,-0.06,-0.46,0.00,3700608.00
MTIG4,23.00,,-49.52,-359.15,36.91,-16.12,-64.07,-113.09,-87.41,-1.28,-1.17,,56.00,-50.93,-50.15,0.27,-725.28,-74.53,-104.33,-0.10,1.10,0.66,-17.44,,,-0.06,-0.46,-0.09,3700608.00
