TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
PETR4,31.14,16.82,5.19,1.01,0.34,49.10,27.00,15.69,3.01,5.57,2.40,0.80,0.81,-9.26,-0.39,0.76,19.38,6.59,7.99,0.34,0.66,0.42,10.18,14.03,1003113983.57,30.97,6.00,-2.94,421523585222.76
PETZ3,3.99,7.23,-114.18,1.10,0.48,46.97,2.85,-0.47,18.76,19.31,0.55,0.03,0.53,3.19,-0.76,1.72,-0.96,-0.42,4.58,0.44,0.56,0.91,27.50,,33135940.62,3.64,-0.03,-0.50,1846332300.75
PFRM3,8.81,6.62,9.24,0.82,0.20,14.84,2.81,1.07,3.51,6.23,2.72,0.63,0.10,1.27,-0.67,1.30,8.83,2.20,10.94,0.25,0.70,2.05,16.16,58.02,1358050.19,10.79,0.95,0.31,1090790530.13
PGMN3,3.65,6.93,14.34,0.82,0.25,31.86,5.06,1.16,3.28,5.39,2.10,0.52,0.17,1.25,-0.55,1.58,5.70,1.74,12.89,0.30,0.69,1.50,14.51,,4161406.19,4.46,0.25,0.25,2272755486.40
PINE3,6.12,8.54,7.24,1.19,0.05,19.10,3.60,4.39,8.82,9.09,,,0.32,-0.64,-0.05,0.02,16.45,0.64,,0.04,0.96,0.15,25.71,,12491.48,5.14,0.85,0.41,1429710413.86
PINE4,6.50,8.04,7.69,1.27,0.05,19.10,3.60,4.39,9.37,9.09,,,0.34,-0.68,-0.05,0.02,16.45,0.64,,0.04,0.96,0.15,25.71,,1578372.57,5.14,0.85,0.44,1429710413.86
PLAS3,4.50,,-0.34,-0.09,0.09,12.04,-1.85,-14.34,-2.62,-15.02,-12.39,,0.05,-0.15,-0.13,0.33,-26.34,-26.53,12.94,-1.01,2.01,1.85,22.66,,3111.78,-50.46,-13.29,-0.02,55914381.00
PLPL3,14.52,6.93,8.28,3.25,0.97,33.16,17.90,12.84,5.94,6.31,0.37,0.20,1.06,1.58,-6.06,3.74,39.24,11.72,24.89,0.30,0.68,0.91,29.22,28.45,14076069.62,4.47,1.75,0.40,2960642520.00
PMAM3,1.63,,-0.09,-0.02,0.09,-30.88,-74.88,-283.89,-0.33,-13.29,-12.96,,0.25,-0.02,-0.11,0.05,-23.04,-98.35,29.61,-4.27,5.27,0.35,-38.50,,395761.10,-81.76,-18.84,0.02,132735876.39
PNVL3,10.05,3.62,12.87,1.22,0.45,31.98,4.47,2.28,6.56,11.02,4.46,0.83,0.29,1.84,-1.07,1.75,9.51,3.53,8.18,0.37,0.63,1.55,12.65,8.87,3533591.29,8.21,0.78,0.45,1511293684.05
PNVL4,18.62,,23.85,2.27,0.84,31.98,4.47,2.28,12.15,11.02,4.46,0.83,0.54,3.40,-1.98,1.75,9.51,3.53,8.18,0.37,0.63,1.55,12.65,8.87,,8.21,0.78,0.84,1511293684.05
POMO3,7.40,8.38,6.97,2.01,0.89,24.70,15.90,13.46,5.90,7.81,0.95,0.32,0.94,3.17,-2.23,1.87,28.89,12.71,12.43,0.44,0.55,0.94,14.78,43.05,1814874.19,3.67,1.06,0.32,9766628245.75
POMO4,9.27,6.69,8.73,2.52,1.11,24.70,15.90,13.46,7.39,7.81,0.95,0.32,1.18,3.97,-2.79,1.87,28.89,12.71,12.43,0.44,0.55,0.94,14.78,43.05,74767946.33,3.67,1.06,0.40,9766628245.75
PORT3,17.99,6.18,11.48,3.06,1.27,48.26,34.52,22.19,7.38,9.59,2.21,0.92,2.55,-51.38,-1.49,0.86,26.69,11.06,16.22,0.41,0.59,0.50,12.80,43.10,16927442.52,5.87,1.57,0.12,7968344881.00
POSI3,4.48,6.11,-815.49,0.40,0.15,24.99,6.54,-0.02,2.82,5.55,2.73,0.38,0.18,0.49,-0.43,1.93,-0.05,-0.02,7.15,0.38,0.61,0.83,14.00,,3007828.86,11.27,-0.01,8.13,635264000.00
POWE3,10.90,,23.92,0.99,0.38,6.82,3.52,2.59,17.55,10.60,-6.96,-0.39,0.62,6.57,-0.74,1.13,4.13,1.58,3.81,0.38,0.62,0.61,,,,11.02,0.46,-1.77,977237930.40
PPAR3,14.60,16.25,1.04,0.05,0.03,,,,0.97,-0.84,-1.81,-0.08,,0.52,-0.03,138.77,4.34,3.11,3.66,0.72,0.28,0.00,,35.50,,323.28,14.04,0.04,2160800.00
PPAR4,0.00,,0.00,0.00,0.00,,,,0.00,-0.84,-1.81,-0.08,,0.00,0.00,138.77,4.34,3.11,3.66,0.72,0.28,0.00,,35.50,,323.28,14.04,0.00,2160800.00
PPLA11,0.91,,0.43,256.13,4.65,,,,0.43,0.43,0.00,0.00,,,-256.13,1.00,59960.00,1088.20,59960.00,0.02,0.98,0.00,,,439.00,0.00,2.13,0.00,2561346.06
PRIO3,37.82,,3.20,1.29,0.61,34.70,26.83,73.88,8.82,13.57,4.75,0.70,2.37,10.72,-0.73,1.54,40.45,19.10,-8.55,0.47,0.53,0.26,54.25,75.51,330226293.57,29.21,11.81,0.04,33899812262.86
PRNR3,15.30,0.34,65.07,2.10,0.50,21.97,7.98,0.78,6.36,9.58,3.22,1.06,0.51,1.72,-1.15,2.06,3.23,0.77,9.55,0.24,0.75,0.99,25.85,,4476838.05,7.28,0.24,-0.05,714827582.10
PSSA3,51.75,4.55,10.72,2.31,0.66,100.00,8.64,8.36,10.37,7.28,-3.08,-0.69,0.90,10.44,-1.46,1.13,21.54,6.12,13.01,0.28,0.71,0.73,14.28,17.74,185852835.57,22.40,4.83,0.42,33460828605.00
PTBL3,4.20,,-4.04,2.38,0.16,36.20,4.42,-5.70,5.21,14.00,8.79,4.01,0.23,-7.77,-0.25,0.94,-59.00,-4.05,4.20,0.07,0.93,0.71,16.66,,798828.10,1.76,-1.04,0.00,592144921.20
PTCA11,0.00,,0.00,0.00,0.00,48.09,10.21,6.85,0.00,1.66,1.66,0.57,0.00,0.00,0.00,1.99,22.96,9.15,14.32,0.40,0.60,1.34,19.72,24.32,,30.96,7.11,0.00,0.00
PTCA3,0.00,,0.00,0.00,0.00,48.09,10.21,6.85,0.00,1.66,1.66,0.57,0.00,0.00,0.00,1.99,22.96,9.15,14.32,0.40,0.60,1.34,19.72,24.32,,30.96,7.11,0.00,0.00
PTNT3,8.70,3.11,10.84,0.95,0.39,14.84,6.42,4.69,7.91,8.17,2.68,0.32,0.51,1.15,-0.89,2.56,8.77,3.63,5.51,0.41,0.50,0.77,6.38,9.66,13008.65,9.15,0.80,-0.66,289886189.60
PTNT4,4.70,5.76,5.86,0.51,0.21,14.84,6.42,4.69,4.28,8.17,2.68,0.32,0.27,0.62,-0.48,2.56,8.77,3.63,5.51,0.41,0.50,0.77,6.38,9.66,129461.29,9.15,0.80,-0.36,289886189.60
QUAL3,1.85,0.30,61.12,0.40,0.14,85.28,12.92,0.57,2.70,7.56,4.86,0.72,0.35,-1.69,-0.20,0.79,0.65,0.23,7.08,0.35,0.65,0.40,-4.63,-53.44,2904024.57,4.62,0.03,-0.55,525426501.25
QUSW3,0.00,,0.00,0.00,0.00,91.47,51.17,38.96,0.00,1.40,1.40,0.45,0.00,0.00,0.00,1.16,24.51,9.59,13.42,0.39,0.61,0.25,-12.03,66.78,,134.48,32.96,0.00,0.00
QVQP3B,0.28,,-64371.22,89708.83,89708.83,,,,-59805.89,-59805.26,0.63,-0.95,,89708.83,,,-139.36,-139.36,-150.00,1.00,0.00,0.00,,,0.00,0.00,0.00,-2479.48,8432630320.52
RADL3,17.63,2.31,24.76,4.54,1.31,29.41,5.78,2.99,12.79,14.10,1.31,0.46,0.74,8.02,-3.10,1.40,18.34,5.31,20.34,0.29,0.71,1.78,17.22,9.64,229443134.62,3.88,0.71,1.39,30288466936.00
RAIL3,14.55,5.57,41.93,2.02,0.53,46.24,30.84,4.64,6.31,9.85,3.53,1.13,1.95,7.97,-0.65,1.62,4.81,1.27,9.55,0.26,0.73,0.27,14.48,-3.68,207702673.76,7.21,0.35,-0.24,27045956377.35
RAIZ4,1.18,,-1.71,0.67,0.09,4.48,0.68,-2.84,7.11,34.30,27.19,2.57,0.05,0.80,-0.15,1.33,-39.36,-5.07,1.45,0.13,0.87,1.79,20.39,,35683708.24,1.76,-0.69,0.00,12215961191.12
RANI3,8.00,9.12,4.96,1.35,0.51,41.62,24.87,22.92,4.57,7.32,2.75,0.81,1.14,2.28,-0.76,3.08,27.20,10.26,11.64,0.38,0.62,0.45,12.61,,4716502.00,5.93,1.61,0.03,1918639352.00
RANI4,5.50,,3.41,0.93,0.35,41.62,24.87,22.92,3.14,7.32,2.75,0.81,0.78,1.57,-0.52,3.08,27.20,10.26,11.64,0.38,0.62,0.45,12.61,,,5.93,1.61,0.02,1918639352.00
RAPT3,6.41,4.00,10.71,0.69,0.12,25.85,9.11,1.53,1.80,8.03,6.17,2.37,0.16,0.45,-0.25,2.04,6.45,1.13,8.16,0.18,0.75,0.74,18.53,-4.46,184623.81,9.28,0.60,-0.29,2187622118.69
RAPT4,6.77,3.78,11.31,0.73,0.13,25.85,9.11,1.53,1.90,8.03,6.17,2.37,0.17,0.48,-0.27,2.04,6.45,1.13,8.16,0.18,0.75,0.74,18.53,-4.46,22821304.43,9.28,0.60,-0.31,2187622118.69
RCSL3,1.70,,-2.54,-2.29,1.30,3.23,-281.41,-347.79,-3.14,-2.66,0.00,,8.84,-6.84,-1.95,0.64,-90.07,-51.12,72.86,-0.57,1.57,0.15,1.25,,280850.24,-0.74,-0.67,-0.02,45846116.78
RCSL4,1.31,,-1.96,-1.76,1.00,3.23,-281.41,-347.79,-2.42,-2.66,0.00,,6.81,-5.27,-1.50,0.64,-90.07,-51.12,72.86,-0.57,1.57,0.15,1.25,,2717220.29,-0.74,-0.67,-0.01,45846116.78
RDNI3,2.04,,-0.64,0.46,0.07,16.57,-17.77,-33.02,-1.19,-7.82,-6.62,2.55,0.21,0.35,-0.13,1.63,-71.56,-10.43,-11.48,0.15,0.84,0.32,11.10,,5447.00,4.45,-3.18,0.01,89290408.32
RDOR3,39.46,1.88,21.96,3.56,0.85,19.84,15.96,7.79,10.72,10.42,-0.30,-0.10,1.71,2.52,-1.78,2.89,16.22,3.89,11.63,0.24,0.74,0.50,30.58,28.65,186289172.05,11.08,1.80,0.80,90335485601.40
REAG3,2.96,,31.36,1.42,1.33,83.42,-44.59,21.86,-15.37,-4.57,10.80,-1.00,6.86,1.45,-54.60,16.47,4.53,4.25,-10.90,0.94,0.06,0.19,35.82,,50732.19,2.08,0.09,0.09,417335745.76
RECV3,12.89,17.01,5.76,0.85,0.53,34.86,27.31,19.55,4.12,5.40,1.28,0.26,1.13,6.06,-0.62,2.22,14.80,9.12,11.46,0.62,0.38,0.47,57.21,59.48,27001626.00,15.12,2.24,0.42,3782855704.14
REDE3,6.37,6.56,9.59,3.08,0.42,25.42,18.21,7.48,3.94,7.92,3.98,3.11,0.72,5.50,-0.58,1.40,32.11,4.40,13.47,0.14,0.80,0.59,9.82,14.52,16478.05,2.07,0.66,-0.50,13442759892.38
RENT3,35.72,4.95,16.63,1.52,0.48,28.53,20.59,5.88,4.74,8.83,4.09,1.31,0.98,8.93,-0.61,1.33,9.12,2.86,10.29,0.31,0.69,0.49,29.60,22.76,306112638.10,23.54,2.15,0.32,38671212118.40
RLOG3,23.08,,82.76,4.26,0.23,34.71,29.67,1.85,5.17,12.09,6.92,5.71,1.53,1.49,-0.31,2.64,5.15,0.28,5.46,0.05,0.71,0.15,50.58,4.37,,5.41,0.28,-2.42,10691215482.28
RNEW11,3.00,,-2.94,0.29,0.12,-10.89,3.44,-32.12,27.41,74.86,47.45,0.50,0.94,-3.03,-0.14,0.69,-9.80,-4.19,0.32,0.43,0.57,0.13,21.43,,8723.38,10.42,-1.02,0.01,372183910.00
RNEW3,1.05,,-3.08,0.30,0.13,-10.89,3.44,-32.12,28.79,74.86,47.45,0.50,0.99,-3.19,-0.14,0.69,-9.80,-4.19,0.32,0.43,0.57,0.13,21.43,,28213.67,3.47,-0.34,0.01,372183910.00
RNEW4,1.02,,-2.99,0.29,0.13,-10.89,3.44,-32.12,27.96,74.86,47.45,0.50,0.96,-3.10,-0.14,0.69,-9.80,-4.19,0.32,0.43,0.57,0.13,21.43,,49099.81,3.47,-0.34,0.01,372183910.00
ROMI3,7.85,10.45,8.00,0.60,0.29,27.85,6.73,7.00,8.32,14.34,6.01,0.43,0.56,0.90,-0.72,2.17,7.48,3.64,4.38,0.49,0.51,0.52,9.77,-6.76,875011.57,13.11,0.98,-0.22,731390363.95
RPAD3,4.91,,-12.70,0.42,0.42,,,,-9.74,-8.67,2.95,-0.13,,3.32,-0.48,28.89,-3.33,-3.29,-4.69,0.99,0.01,0.00,,,2046.00,11.61,-0.39,0.47,496224865.75
RPAD5,6.99,7.70,-18.08,0.60,0.60,,,,-13.87,-8.67,2.95,-0.13,,4.73,-0.68,28.89,-3.33,-3.29,-4.69,0.99,0.01,0.00,,,1269.33,11.61,-0.39,0.66,496224865.75
RPAD6,4.04,,-10.45,0.35,0.34,,,,-8.01,-8.67,2.95,-0.13,,2.73,-0.40,28.89,-3.33,-3.29,-4.69,0.99,0.01,0.00,,,404.00,11.61,-0.39,0.38,496224865.75
RPMG3,2.92,,-0.12,-0.03,0.02,-14.43,-20.96,-19.19,-0.11,-0.08,0.03,,0.02,-0.06,-0.42,0.76,-22.32,-16.12,24.36,-0.72,1.72,0.84,42.58,,23970.26,-109.81,-24.51,0.00,197659556.68
RSID3,1.99,,0.15,-0.04,0.08,28.74,-311.91,327.60,-0.15,-1.49,-1.34,,0.48,-0.13,-0.16,0.45,-28.42,54.91,101.17,-1.93,2.93,0.17,-41.82,,13157.25,-47.95,13.63,0.00,40341685.96
RSUL3,0.00,,0.00,0.00,0.00,40.78,21.58,14.95,0.00,1.51,-0.47,-0.16,0.00,0.00,0.00,2.44,23.72,14.26,13.73,0.60,0.40,0.95,17.77,28.31,,41.78,9.91,0.00,171746336.75
RSUL4,68.83,,6.94,1.65,0.99,40.78,21.58,14.95,4.81,1.51,-0.47,-0.16,1.04,2.97,-2.27,2.44,23.72,14.26,13.73,0.60,0.40,0.95,17.77,28.31,136015.95,41.78,9.91,0.88,171746336.75
SANB11,28.47,6.12,9.06,0.87,0.09,39.14,10.65,7.79,6.63,6.63,,,0.71,-0.20,-0.09,0.04,9.64,0.95,,0.10,0.90,0.12,13.50,-6.66,51377362.05,32.61,3.14,0.77,106741589510.99
SANB3,13.48,6.16,8.58,0.83,0.08,39.14,10.65,7.79,6.28,6.63,,,0.67,-0.19,-0.08,0.04,9.64,0.95,,0.10,0.90,0.12,13.50,-6.66,600910.86,16.31,1.57,0.73,106741589510.99
SANB4,14.84,6.15,9.45,0.91,0.09,39.14,10.65,7.79,6.91,6.63,,,0.74,-0.21,-0.09,0.04,9.64,0.95,,0.10,0.90,0.12,13.50,-6.66,717446.14,16.31,1.57,0.80,106741589510.99
SAPR11,34.48,6.40,4.61,0.88,0.42,56.64,36.81,32.33,4.05,6.10,2.06,0.45,1.49,20.12,-0.47,1.21,19.20,9.08,13.74,0.47,0.53,0.28,7.71,15.94,42174159.24,38.99,7.48,0.09,10421273259.02
SAPR3,7.52,5.44,5.02,0.96,0.46,56.64,36.81,32.33,4.41,6.10,2.06,0.45,1.62,21.94,-0.52,1.21,19.20,9.08,13.74,0.47,0.53,0.28,7.71,15.94,1460314.00,7.80,1.50,0.10,10421273259.02
SAPR4,6.70,6.71,4.48,0.86,0.41,56.64,36.81,32.33,3.93,6.10,2.06,0.45,1.45,19.55,-0.46,1.21,19.20,9.08,13.74,0.47,0.53,0.28,7.71,15.94,6659422.33,7.80,1.50,0.09,10421273259.02
SBFG3,11.34,4.84,7.24,0.95,0.33,49.14,7.94,5.24,4.78,8.53,3.75,0.75,0.38,2.77,-0.65,1.31,13.16,4.54,10.07,0.35,0.65,0.87,22.95,4.32,21548755.95,11.90,1.57,-0.40,2773257442.20
SBSP3,122.79,3.04,7.52,2.08,0.95,53.06,44.30,27.76,4.71,6.02,1.31,0.58,2.09,30.28,-1.11,1.26,27.61,12.58,10.96,0.46,0.54,0.45,14.98,27.09,343095660.33,59.17,16.33,0.04,83928176814.51
SCAR3,21.95,7.95,-25.67,0.83,0.44,42.35,20.73,-12.25,15.16,24.03,8.86,0.48,3.14,2.25,-0.60,3.68,-3.23,-1.71,2.21,0.53,0.47,0.14,6.45,,900808.67,26.48,-0.86,0.21,1267334152.05
SEDU3,23.80,,-13.36,15.00,1.53,48.36,-15.73,-25.77,-21.89,-27.94,-6.05,4.15,3.44,57.90,-2.27,1.09,-112.29,-11.46,-13.15,0.10,0.90,0.44,12.49,,,1.59,-1.78,0.01,6238667820.00
SEER3,8.95,1.72,12.46,0.88,0.34,58.26,15.37,4.34,3.52,5.29,1.77,0.44,0.54,4.66,-0.48,1.35,7.03,2.74,14.67,0.39,0.61,0.63,9.20,-7.48,5702970.38,10.21,0.72,0.00,1152057962.00
SEQL3,0.97,,-0.04,-0.05,0.04,-3.27,-140.15,-142.29,-0.05,-0.96,-0.91,,0.06,-0.08,-0.05,0.24,-118.36,-88.81,-1325.94,-0.75,1.75,0.62,7.84,,150575.14,-18.38,-21.75,0.00,48802228.72
SGPS3,1.64,,-0.02,-0.02,0.01,-2.19,-81.65,-176.79,-0.04,-2.32,-2.29,,0.03,-0.01,-0.01,0.22,-127.05,-40.96,-137.25,-0.32,1.32,0.23,-12.92,,0.00,-76.40,-97.07,0.00,16400000.00
SHOW3,5.84,,-0.75,0.31,0.10,26.99,-14.63,-34.05,-1.76,-0.27,1.49,-0.26,0.26,1.06,-0.23,1.19,-40.57,-13.04,-13.87,0.32,0.67,0.38,-15.90,,165165.24,19.08,-7.74,0.00,39368970.08
SHUL3,27.31,0.84,36.16,6.45,3.48,25.67,14.04,13.40,34.50,17.96,-0.35,-0.06,4.84,8.06,-9.73,3.04,17.83,9.61,10.75,0.54,0.46,0.72,12.91,22.68,0.00,4.24,0.76,-150.28,5181168543.88
SHUL4,4.94,7.78,6.54,1.17,0.63,25.67,14.04,13.40,6.24,17.96,-0.35,-0.06,0.88,1.46,-1.76,3.04,17.83,9.61,10.75,0.54,0.46,0.72,12.91,22.68,2217299.05,4.24,0.76,-27.18,5181168543.88
SIMH3,5.18,1.36,-11.85,1.35,0.05,25.94,16.44,-0.89,0.64,7.21,6.57,13.73,0.11,0.49,-0.08,1.46,-11.36,-0.45,10.82,0.04,0.92,0.51,33.49,,22926646.71,3.85,-0.44,0.59,4522349960.94
SLCE3,17.61,3.10,11.66,1.51,0.44,29.16,18.88,7.62,4.71,8.22,3.52,1.13,0.89,2.40,-0.79,1.73,12.93,3.80,11.88,0.29,0.70,0.50,20.74,16.54,37034055.19,11.68,1.51,0.63,7807036298.76
SLED3,3.21,,0.45,-0.08,0.48,47.85,73.94,92.71,0.56,0.95,0.65,,0.42,-0.20,-0.72,0.12,-18.07,107.04,-15.91,-5.92,6.92,1.15,-45.03,,,-39.57,7.15,-0.02,16497692.59
SLED4,1.60,,0.22,-0.04,0.24,47.85,73.94,92.71,0.28,0.95,0.65,,0.21,-0.10,-0.36,0.12,-18.07,107.04,-15.91,-5.92,6.92,1.15,-45.03,,,-39.57,7.15,-0.01,16497692.59
SMFT3,24.50,2.35,27.58,2.59,0.79,42.37,23.11,8.25,9.84,12.01,2.17,0.57,2.28,11.80,-1.01,1.45,9.41,2.87,12.05,0.31,0.69,0.35,22.98,,93765487.14,9.44,0.89,-0.69,14632626298.50
SMLS3,22.40,,10.78,4.09,1.02,85.18,41.42,39.07,10.17,9.93,-0.24,-0.10,4.21,18.78,-2.54,1.10,37.96,9.43,20.63,0.25,0.75,0.24,,,,5.47,2.08,-0.33,2781160547.20
SMTO3,18.20,4.99,11.79,0.90,0.28,23.13,19.76,6.96,4.15,9.53,5.38,1.17,0.82,1.63,-0.39,2.43,7.66,2.36,8.17,0.31,0.69,0.34,14.16,-4.29,34058435.38,20.15,1.54,-0.19,6050324116.20
SNSY3,11.00,,-0.45,-0.04,0.15,22.85,12.17,-19.45,0.71,2.25,1.85,,0.09,-0.80,-0.35,0.76,-9.02,-33.26,-6.27,-3.69,4.72,1.71,15.69,,4814.33,-272.81,-24.61,0.00,46941800.00
SNSY5,3.50,,-0.14,-0.01,0.05,22.85,12.17,-19.45,0.23,2.25,1.85,,0.03,-0.25,-0.11,0.76,-9.02,-33.26,-6.27,-3.69,4.72,1.71,15.69,,4595.38,-272.81,-24.61,0.00,46941800.00
SNSY6,11.51,,-0.47,-0.04,0.16,22.85,12.17,-19.45,0.75,2.25,1.85,,0.09,-0.84,-0.37,0.76,-9.02,-33.26,-6.27,-3.69,4.72,1.71,15.69,,0.00,-272.81,-24.61,0.00,46941800.00
SOJA3,10.38,2.86,13.87,1.04,0.39,13.35,7.95,5.22,9.10,10.97,1.87,0.21,0.72,0.81,-1.32,3.21,7.48,2.82,4.78,0.38,0.45,0.54,35.41,30.59,4232371.76,10.00,0.75,-0.20,1404643854.72
SOMA3,5.95,,2.96,0.80,0.49,56.80,-46.46,29.33,-1.87,-2.32,-0.45,0.19,0.87,2.01,-0.84,2.36,27.15,16.44,-47.20,0.61,0.39,0.56,37.72,80.87,99716529.00,7.40,2.01,0.01,4669246869.35
SOND3,47.00,12.13,4.43,1.80,0.99,31.30,17.61,12.21,3.07,2.66,-0.93,-0.54,0.54,3.92,-2.35,1.76,40.57,22.25,22.92,0.55,0.45,1.82,25.49,42.82,0.00,26.14,10.61,0.02,134744100.00
SOND5,56.00,11.20,5.28,2.14,1.17,31.30,17.61,12.21,3.66,2.66,-0.93,-0.54,0.64,4.67,-2.80,1.76,40.57,22.25,22.92,0.55,0.45,1.82,25.49,42.82,6495.00,26.14,10.61,0.02,134744100.00
SOND6,59.00,10.63,5.56,2.26,1.24,31.30,17.61,12.21,3.86,2.66,-0.93,-0.54,0.68,4.92,-2.95,1.76,40.57,22.25,22.92,0.55,0.45,1.82,25.49,42.82,9030.67,26.14,10.61,0.02,134744100.00
SPRT3B,76.40,,-1707.98,3026.97,2817.07,,,,-1708.97,-1708.36,0.60,-1.07,,3026.97,,14.42,-177.23,-164.94,-177.12,0.93,0.07,0.00,,,,0.03,-0.04,-46.02,370531748.80
SQIA3,27.37,,-110.33,3.70,1.49,42.19,6.45,-3.26,55.72,60.18,4.46,0.30,3.59,25.87,-1.84,1.43,-3.35,-1.35,2.68,0.40,0.58,0.41,35.51,,,7.40,-0.25,0.62,2406971773.64
SRNA3,12.18,,104.31,1.41,0.38,28.37,24.27,1.37,5.90,14.14,8.23,1.96,1.43,46.94,-0.45,1.06,1.35,0.36,6.85,0.27,0.73,0.26,,,36175382.95,8.64,0.12,-1.41,7584858172.08
STBP3,14.28,3.56,15.15,15.39,2.24,57.10,44.73,24.53,8.31,9.73,1.42,2.64,3.72,75.66,-2.79,1.18,101.58,14.75,25.28,0.15,0.85,0.60,24.45,121.20,71201915.00,0.93,0.94,0.79,12340352869.32
STKF3,0.00,,0.00,0.00,0.00,54.65,36.95,23.68,0.00,3.27,3.27,0.25,0.00,0.00,0.00,3.14,4.97,3.15,4.97,0.63,0.37,0.13,24.60,27.74,,8.19,0.41,0.00,0.00
STTR3,0.00,,0.00,0.00,0.00,31.37,17.25,14.11,0.00,-0.22,-0.22,-0.09,0.00,0.00,0.00,2.46,32.10,17.86,21.15,0.56,0.44,1.27,22.02,,,2.91,0.94,0.00,0.00
SULA11,20.76,,48.73,1.06,0.29,4.25,-3.34,0.83,-12.06,7.41,19.47,-1.71,0.40,0.79,-0.85,2.29,2.17,0.60,-9.49,0.28,0.72,0.73,4.58,-23.56,313020093.00,19.64,0.43,-0.88,8840533965.20
SULA3,7.43,,52.32,1.13,0.31,4.25,-3.34,0.83,-12.95,7.41,19.47,-1.71,0.43,0.85,-0.91,2.29,2.17,0.60,-9.49,0.28,0.72,0.73,4.58,-23.56,,6.55,0.14,-0.95,8840533965.20
SULA4,7.63,,53.73,1.17,0.32,4.25,-3.34,0.83,-13.30,7.41,19.47,-1.71,0.44,0.88,-0.93,2.29,2.17,0.60,-9.49,0.28,0.72,0.73,4.58,-23.56,,6.55,0.14,-0.97,8840533965.20
SUZB3,52.67,3.83,8.51,1.54,0.42,37.73,26.63,15.25,4.87,10.09,5.22,1.65,1.30,2.44,-0.56,3.16,18.13,4.91,2.23,0.27,0.73,0.32,12.75,,224532412.38,34.12,6.19,0.00,66581074782.05
SYNE3,6.65,6.90,8.62,0.98,0.37,52.55,51.05,36.56,6.17,4.70,-1.47,-0.23,3.15,1.85,-0.51,3.39,11.34,4.28,4.98,0.38,0.35,0.12,23.59,29.12,3400931.14,6.80,0.77,-0.11,1015085559.25
TAEE11,34.73,8.52,6.68,1.57,0.56,61.76,70.51,41.48,3.93,7.02,3.09,1.24,2.77,19.54,-0.65,1.24,23.54,8.33,15.62,0.35,0.65,0.20,15.68,12.33,73792919.33,22.10,5.20,0.44,11964447040.11
TAEE3,11.50,8.58,6.63,1.56,0.55,61.76,70.51,41.48,3.90,7.02,3.09,1.24,2.75,19.41,-0.65,1.24,23.54,8.33,15.62,0.35,0.65,0.20,15.68,12.33,894195.95,7.37,1.73,0.44,11964447040.11
TAEE4,11.60,8.51,6.69,1.57,0.56,61.76,70.51,41.48,3.94,7.02,3.09,1.24,2.77,19.58,-0.65,1.24,23.54,8.33,15.62,0.35,0.65,0.20,15.68,12.33,1318651.19,7.37,1.73,0.44,11964447040.11
TASA3,5.30,3.82,6.23,0.58,0.29,35.63,9.15,7.56,5.15,9.10,4.24,0.48,0.47,1.11,-0.68,1.81,9.29,4.62,5.25,0.50,0.50,0.61,10.85,22.22,87650.71,9.15,0.85,0.12,697703053.38
TASA4,4.84,4.19,5.69,0.53,0.26,35.63,9.15,7.56,4.70,9.10,4.24,0.48,0.43,1.01,-0.62,1.81,9.29,4.62,5.25,0.50,0.50,0.61,10.85,22.22,1713593.05,9.15,0.85,0.11,697703053.38
TCNO3,1.20,,-7.52,-8.40,0.03,,,,-6.81,-34.51,-28.98,,,-0.08,-0.04,0.28,-111.63,-0.45,-3.55,0.00,1.00,0.00,,,,-0.14,-0.16,-0.28,6451072.50
TCNO4,0.85,,-5.33,-5.95,0.02,,,,-4.82,-34.51,-28.98,,,-0.06,-0.03,0.28,-111.63,-0.45,-3.55,0.00,1.00,0.00,,,,-0.14,-0.16,-0.20,6451072.50
TCSA3,1.54,,-0.69,0.36,0.10,-20.85,-40.32,-57.81,-0.99,-5.37,-4.37,1.56,0.40,-0.29,-0.14,0.46,-51.23,-14.26,-13.72,0.28,0.72,0.25,5.16,,111942.10,4.34,-2.22,-0.02,113373614.20
TECN3,6.85,3.49,6.78,1.01,0.62,54.89,16.25,14.18,5.92,6.34,0.43,0.07,0.96,1.36,-1.83,3.17,14.95,9.08,11.43,0.61,0.39,0.64,4.83,,296258.57,6.76,1.01,-2.76,423715072.75
TEKA3,42.50,,-0.13,-0.01,0.02,24.58,-4.48,-52.80,-1.47,-43.28,-42.29,,0.07,-0.01,-0.02,0.05,-7.76,-13.93,0.97,-1.80,2.80,0.26,14.82,,0.00,-4378.29,-339.62,-0.01,14260237.50
